connection_id,user_id,country,country_name,city,timezone,device,internet_speed_mbps,connected_at,related_country
C00059,U1041,PL,Poland,Warsaw,Europe/Warsaw,mobile,45.4,2026-03-08T12:40:25.312Z,SG
C00060,U1288,IT,Italy,Rome,Europe/Rome,mobile,37,2026-04-23T15:46:58.436Z,DE
C00061,U1746,US,United States,New York,America/New_York,mobile,56.6,2026-04-06T04:34:41.605Z,CA
C00062,U1273,JP,Japan,Tokyo,Asia/Tokyo,mobile,82.3,2026-01-01T12:56:37.085Z,IN
C00063,U1050,KR,South Korea,Seoul,Asia/Seoul,desktop,110.9,2026-04-02T01:04:32.992Z,IN
C00064,U1774,DE,Germany,Berlin,Europe/Berlin,mobile,76.8,2026-02-28T18:26:18.334Z,NL
C00065,U1030,US,United States,New York,America/New_York,mobile,51.3,2026-04-20T13:03:21.765Z,MX
C00066,U1432,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,65.7,2026-01-14T23:18:49.121Z,PL
C00067,U1276,IN,India,Mumbai,Asia/Kolkata,mobile,55.3,2026-04-07T03:38:07.818Z,KR
C00068,U1320,JP,Japan,Tokyo,Asia/Tokyo,desktop,100.7,2026-04-08T00:44:22.174Z,KR
C00069,U1667,SG,Singapore,Singapore,Asia/Singapore,desktop,113.5,2026-03-22T10:30:30.356Z,JP
C00070,U1613,FR,France,Paris,Europe/Paris,desktop,99.1,2026-01-28T15:14:39.770Z,DE
C00071,U1263,AU,Australia,Sydney,Australia/Sydney,desktop,78.6,2026-04-05T02:08:39.576Z,KR
C00072,U1591,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,26.2,2026-03-26T02:36:44.780Z,SE
C00073,U1417,DE,Germany,Berlin,Europe/Berlin,desktop,103.7,2026-01-29T11:41:40.901Z,ES
C00074,U1744,ES,Spain,Madrid,Europe/Madrid,desktop,83.9,2026-02-11T08:54:00.061Z,IT
C00075,U1545,US,United States,New York,America/New_York,desktop,65.1,2026-01-09T17:21:57.617Z,MX
C00076,U1375,IN,India,Mumbai,Asia/Kolkata,mobile,53,2026-04-04T15:39:01.342Z,SG
C00077,U1501,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,92.4,2026-03-14T22:48:25.946Z,US
C00078,U1004,US,United States,New York,America/New_York,desktop,68.7,2026-02-01T07:23:06.685Z,MX
C00079,U1786,JP,Japan,Tokyo,Asia/Tokyo,tablet,84.2,2026-01-27T07:01:52.531Z,KR
C00080,U1494,US,United States,New York,America/New_York,mobile,39.6,2026-02-08T03:59:58.494Z,BR
C00081,U1255,DE,Germany,Berlin,Europe/Berlin,mobile,81.2,2026-03-14T20:34:48.073Z,NL
C00082,U1564,AU,Australia,Sydney,Australia/Sydney,desktop,82.2,2026-02-18T02:12:25.104Z,IN
C00083,U1641,IN,India,Mumbai,Asia/Kolkata,mobile,46.5,2026-01-11T02:17:30.391Z,AU
C00084,U1554,DE,Germany,Berlin,Europe/Berlin,desktop,124.6,2026-04-14T04:19:49.107Z,NL
C00085,U1301,JP,Japan,Tokyo,Asia/Tokyo,desktop,113.2,2026-04-20T15:30:01.618Z,IN
C00086,U1355,PL,Poland,Warsaw,Europe/Warsaw,desktop,73.9,2026-03-10T15:46:13.704Z,GB
C00087,U1734,IN,India,Mumbai,Asia/Kolkata,desktop,95.8,2026-02-12T10:12:45.695Z,AU
C00088,U1510,IN,India,Mumbai,Asia/Kolkata,tablet,40.4,2026-04-25T06:42:40.209Z,JP
C00089,U1687,SE,Sweden,Stockholm,Europe/Stockholm,desktop,104.6,2026-01-27T20:26:18.540Z,ZA
C00090,U1746,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,97.6,2026-03-27T17:37:10.655Z,IN
C00091,U1087,GB,United Kingdom,London,Europe/London,tablet,68.4,2026-03-31T17:59:37.595Z,DE
C00092,U1632,US,United States,New York,America/New_York,desktop,93.9,2026-04-25T21:40:19.721Z,MX
C00093,U1270,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,74,2026-01-30T01:17:42.069Z,ZA
C00094,U1351,US,United States,New York,America/New_York,desktop,90,2026-03-16T16:32:44.285Z,CA
C00095,U1301,KR,South Korea,Seoul,Asia/Seoul,desktop,94.7,2026-02-17T00:09:17.454Z,IN
C00096,U1220,PL,Poland,Warsaw,Europe/Warsaw,desktop,90,2026-02-09T23:00:57.540Z,GB
C00097,U1145,ES,Spain,Madrid,Europe/Madrid,desktop,72.6,2026-02-24T03:47:17.103Z,DE
C00098,U1469,IN,India,Mumbai,Asia/Kolkata,desktop,99.3,2026-04-18T23:54:28.193Z,AU
C00099,U1395,US,United States,New York,America/New_York,desktop,70.5,2026-01-03T21:29:31.398Z,BR
C00100,U1047,MX,Mexico,Mexico City,America/Mexico_City,desktop,69.1,2026-04-19T16:22:02.912Z,IN
C00101,U1435,AU,Australia,Sydney,Australia/Sydney,mobile,41.9,2026-04-27T05:13:51.276Z,IN
C00102,U1075,FR,France,Paris,Europe/Paris,mobile,53.3,2026-03-31T05:31:18.420Z,US
C00103,U1738,DE,Germany,Berlin,Europe/Berlin,desktop,95.4,2026-03-11T08:39:09.525Z,NL
C00104,U1342,US,United States,New York,America/New_York,tablet,55.5,2026-01-14T11:04:47.807Z,MX
C00105,U1776,FR,France,Paris,Europe/Paris,tablet,74.1,2026-03-07T04:27:25.499Z,DE
C00106,U1152,US,United States,New York,America/New_York,mobile,53.8,2026-01-31T12:47:41.246Z,SE
C00107,U1467,ES,Spain,Madrid,Europe/Madrid,mobile,25.4,2026-04-30T16:23:06.821Z,SE
C00108,U1398,JP,Japan,Tokyo,Asia/Tokyo,desktop,127.5,2026-02-01T21:30:41.401Z,KR
C00109,U1063,IN,India,Mumbai,Asia/Kolkata,mobile,59.5,2026-02-18T07:14:46.870Z,SG
C00110,U1238,CA,Canada,Toronto,America/Toronto,desktop,77.3,2026-04-08T00:13:22.185Z,BR
C00111,U1745,DE,Germany,Berlin,Europe/Berlin,mobile,79.3,2026-02-17T03:21:37.842Z,FR
C00112,U1007,FR,France,Paris,Europe/Paris,desktop,68.2,2026-03-04T07:41:21.548Z,GB
C00113,U1555,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,82.1,2026-01-23T23:04:11.038Z,ES
C00114,U1709,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,65.3,2026-01-24T10:55:52.659Z,US
C00115,U1285,IT,Italy,Rome,Europe/Rome,desktop,77.8,2026-02-18T03:58:40.710Z,SE
C00116,U1428,US,United States,New York,America/New_York,desktop,78.7,2026-01-14T09:06:52.081Z,CA
C00117,U1734,SE,Sweden,Stockholm,Europe/Stockholm,desktop,106.3,2026-01-14T05:24:09.501Z,IT
C00118,U1419,JP,Japan,Tokyo,Asia/Tokyo,mobile,73.3,2026-03-09T21:58:29.101Z,SG
C00119,U1645,DE,Germany,Berlin,Europe/Berlin,mobile,50.7,2026-02-14T19:48:40.590Z,NL
C00120,U1006,KR,South Korea,Seoul,Asia/Seoul,mobile,58.4,2026-02-01T06:09:32.149Z,ZA
C00121,U1766,PL,Poland,Warsaw,Europe/Warsaw,tablet,56.7,2026-03-16T09:33:06.175Z,DE
C00122,U1240,US,United States,New York,America/New_York,desktop,104.9,2026-04-13T08:59:00.781Z,CA
C00123,U1476,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,89.5,2026-01-28T09:23:25.296Z,ZA
C00124,U1103,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,73.5,2026-02-20T11:06:27.709Z,FR
C00125,U1262,KR,South Korea,Seoul,Asia/Seoul,mobile,80.3,2026-03-21T06:56:31.244Z,MX
C00126,U1552,GB,United Kingdom,London,Europe/London,mobile,62.5,2026-04-19T10:17:22.095Z,ES
C00127,U1621,JP,Japan,Tokyo,Asia/Tokyo,desktop,107,2026-03-23T12:21:17.307Z,SG
C00128,U1113,CA,Canada,Toronto,America/Toronto,mobile,50.5,2026-04-10T05:07:20.379Z,MX
C00129,U1607,GB,United Kingdom,London,Europe/London,desktop,100.8,2026-03-08T16:25:16.890Z,MX
C00130,U1365,AU,Australia,Sydney,Australia/Sydney,desktop,77.2,2026-02-09T01:19:13.798Z,IN
C00131,U1244,IN,India,Mumbai,Asia/Kolkata,desktop,102.6,2026-03-04T14:17:46.740Z,SE
C00132,U1378,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,101.5,2026-04-30T19:04:53.525Z,US
C00133,U1038,FR,France,Paris,Europe/Paris,desktop,95,2026-03-03T21:14:58.573Z,NL
C00134,U1709,IN,India,Mumbai,Asia/Kolkata,desktop,85.2,2026-03-31T14:32:42.913Z,AU
C00135,U1555,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,84.4,2026-03-07T12:22:23.134Z,ZA
C00136,U1063,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,36,2026-02-26T20:35:37.608Z,CA
C00137,U1326,DE,Germany,Berlin,Europe/Berlin,desktop,117.9,2026-01-11T17:49:37.622Z,IT
C00138,U1119,KR,South Korea,Seoul,Asia/Seoul,mobile,78.3,2026-03-04T12:02:59.654Z,AU
C00139,U1672,US,United States,New York,America/New_York,desktop,82.7,2026-03-18T17:47:27.756Z,IN
C00140,U1544,IN,India,Mumbai,Asia/Kolkata,desktop,90.6,2026-03-02T13:44:33.945Z,SG
C00141,U1775,ES,Spain,Madrid,Europe/Madrid,desktop,71.1,2026-04-23T13:20:13.693Z,FR
C00142,U1424,DE,Germany,Berlin,Europe/Berlin,mobile,51.3,2026-02-27T02:56:02.946Z,FR
C00143,U1390,DE,Germany,Berlin,Europe/Berlin,desktop,101.5,2026-04-16T18:51:51.414Z,GB
C00144,U1549,AU,Australia,Sydney,Australia/Sydney,mobile,31.3,2026-02-09T01:28:08.551Z,NL
C00145,U1173,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,69.4,2026-04-05T14:24:31.851Z,CA
C00146,U1633,ZA,South Africa,Cape Town,Africa/Johannesburg,mobile,45.4,2026-01-06T07:56:37.283Z,ZA
C00147,U1355,IN,India,Mumbai,Asia/Kolkata,mobile,52.7,2026-03-25T22:46:55.846Z,KR
C00148,U1163,US,United States,New York,America/New_York,desktop,90.9,2026-02-15T06:06:08.012Z,CA
C00149,U1172,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,54.6,2026-01-18T20:01:50.841Z,MX
C00150,U1790,US,United States,New York,America/New_York,desktop,88.7,2026-01-13T22:02:21.590Z,KR
C00151,U1502,CA,Canada,Toronto,America/Toronto,desktop,65.4,2026-04-25T23:25:14.232Z,FR
C00152,U1289,SG,Singapore,Singapore,Asia/Singapore,mobile,68.2,2026-04-17T00:25:42.651Z,ZA
C00153,U1445,US,United States,New York,America/New_York,desktop,89.2,2026-01-04T05:07:36.492Z,MX
C00154,U1326,US,United States,New York,America/New_York,desktop,96.6,2026-02-19T21:13:16.446Z,CA
C00155,U1754,US,United States,New York,America/New_York,desktop,76.2,2026-03-09T22:54:43.011Z,CA
C00156,U1463,MX,Mexico,Mexico City,America/Mexico_City,mobile,32.9,2026-01-02T21:23:28.644Z,BR
C00157,U1347,IN,India,Mumbai,Asia/Kolkata,desktop,81.4,2026-02-25T03:25:01.150Z,DE
C00158,U1007,CA,Canada,Toronto,America/Toronto,mobile,55.5,2026-04-28T12:38:05.527Z,US
C00159,U1348,IN,India,Mumbai,Asia/Kolkata,tablet,46.4,2026-02-03T19:27:34.008Z,SG
C00160,U1404,AU,Australia,Sydney,Australia/Sydney,desktop,82.6,2026-01-20T21:04:46.771Z,ES
C00161,U1284,FR,France,Paris,Europe/Paris,desktop,81.4,2026-03-20T22:32:49.730Z,DE
C00162,U1644,DE,Germany,Berlin,Europe/Berlin,desktop,97,2026-02-16T13:49:27.889Z,IT
C00163,U1634,IT,Italy,Rome,Europe/Rome,mobile,51.4,2026-02-06T12:35:20.852Z,SE
C00164,U1179,KR,South Korea,Seoul,Asia/Seoul,desktop,125.7,2026-02-06T04:23:17.854Z,IN
C00165,U1228,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,72.3,2026-04-17T06:03:18.229Z,SE
C00166,U1318,ES,Spain,Madrid,Europe/Madrid,desktop,78.4,2026-01-13T20:31:58.706Z,GB
C00167,U1389,IT,Italy,Rome,Europe/Rome,mobile,42.1,2026-03-25T08:23:22.083Z,GB
C00168,U1697,NL,Netherlands,Amsterdam,Europe/Amsterdam,mobile,70.8,2026-03-01T00:06:43.541Z,GB
C00169,U1393,IT,Italy,Rome,Europe/Rome,desktop,90.1,2026-01-13T23:06:48.759Z,MX
C00170,U1577,FR,France,Paris,Europe/Paris,desktop,94.7,2026-03-18T04:15:58.971Z,SE
C00171,U1141,BR,Brazil,São Paulo,America/Sao_Paulo,desktop,71.8,2026-04-11T11:18:29.634Z,CA
C00172,U1740,GB,United Kingdom,London,Europe/London,desktop,80.5,2026-01-20T06:36:54.988Z,NL
C00173,U1287,US,United States,New York,America/New_York,mobile,36.8,2026-01-05T20:26:25.398Z,GB
C00174,U1217,SE,Sweden,Stockholm,Europe/Stockholm,mobile,50.8,2026-03-14T19:27:08.379Z,DE
C00175,U1111,US,United States,New York,America/New_York,desktop,100.1,2026-01-12T22:01:00.147Z,ES
C00176,U1206,ES,Spain,Madrid,Europe/Madrid,desktop,95.7,2026-01-15T02:40:10.507Z,NL
C00177,U1471,SE,Sweden,Stockholm,Europe/Stockholm,tablet,98.4,2026-03-28T08:14:40.195Z,DE
C00178,U1528,JP,Japan,Tokyo,Asia/Tokyo,mobile,63.6,2026-03-17T20:25:01.884Z,ES
C00179,U1499,US,United States,New York,America/New_York,tablet,48.4,2026-01-06T04:39:21.405Z,MX
C00180,U1781,IN,India,Mumbai,Asia/Kolkata,desktop,67.2,2026-01-05T05:21:03.292Z,KR
C00181,U1645,JP,Japan,Tokyo,Asia/Tokyo,desktop,102.3,2026-02-02T20:22:06.703Z,SG
C00182,U1786,DE,Germany,Berlin,Europe/Berlin,tablet,81.7,2026-04-26T09:13:45.035Z,SE
C00183,U1164,SE,Sweden,Stockholm,Europe/Stockholm,desktop,114.9,2026-02-13T15:35:56.695Z,ES
C00184,U1720,KR,South Korea,Seoul,Asia/Seoul,desktop,115.8,2026-04-11T01:13:00.315Z,AU
C00185,U1321,US,United States,New York,America/New_York,tablet,63.2,2026-03-25T08:06:44.579Z,MX
C00186,U1353,FR,France,Paris,Europe/Paris,mobile,61.2,2026-01-16T05:00:13.897Z,DE
C00187,U1673,CA,Canada,Toronto,America/Toronto,tablet,68.7,2026-03-29T03:10:25.820Z,MX
C00188,U1366,DE,Germany,Berlin,Europe/Berlin,mobile,50.4,2026-03-30T06:47:27.243Z,PL
C00189,U1724,DE,Germany,Berlin,Europe/Berlin,mobile,86.9,2026-01-01T16:56:10.715Z,US
C00190,U1067,PL,Poland,Warsaw,Europe/Warsaw,tablet,59.4,2026-03-02T22:39:48.998Z,IT
C00191,U1138,DE,Germany,Berlin,Europe/Berlin,desktop,110,2026-02-02T16:59:10.714Z,NL
C00192,U1118,MX,Mexico,Mexico City,America/Mexico_City,desktop,74.6,2026-02-11T16:31:40.966Z,CA
C00193,U1584,SE,Sweden,Stockholm,Europe/Stockholm,mobile,61.1,2026-02-19T17:22:24.118Z,AU
C00194,U1617,US,United States,New York,America/New_York,mobile,49.2,2026-04-20T11:11:27.280Z,MX
C00195,U1052,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,28.3,2026-02-15T14:27:27.436Z,FR
C00196,U1397,US,United States,New York,America/New_York,mobile,59.7,2026-04-09T08:36:23.976Z,ES
C00197,U1082,AU,Australia,Sydney,Australia/Sydney,desktop,91.1,2026-03-17T06:41:26.933Z,IN
C00198,U1051,PL,Poland,Warsaw,Europe/Warsaw,mobile,35.9,2026-03-29T22:21:09.793Z,FR
C00199,U1559,DE,Germany,Berlin,Europe/Berlin,tablet,86.3,2026-03-27T22:57:33.972Z,SE
C00200,U1381,US,United States,New York,America/New_York,mobile,41.4,2026-03-30T11:59:46.761Z,PL
C00201,U1359,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,50.6,2026-02-01T08:00:42.352Z,MX
C00202,U1139,GB,United Kingdom,London,Europe/London,desktop,80.9,2026-03-18T23:44:06.910Z,SE
C00203,U1059,GB,United Kingdom,London,Europe/London,tablet,72.9,2026-01-27T05:23:08.584Z,FR
C00204,U1441,GB,United Kingdom,London,Europe/London,desktop,103.7,2026-01-01T00:44:42.853Z,IT
C00205,U1434,DE,Germany,Berlin,Europe/Berlin,mobile,61.5,2026-01-25T11:51:14.129Z,JP
C00206,U1451,DE,Germany,Berlin,Europe/Berlin,desktop,98.6,2026-04-27T13:21:51.962Z,FR
C00207,U1754,DE,Germany,Berlin,Europe/Berlin,tablet,74.6,2026-02-28T11:10:35.640Z,ES
C00208,U1316,US,United States,New York,America/New_York,mobile,50.9,2026-02-13T23:01:01.956Z,MX
C00209,U1707,NL,Netherlands,Amsterdam,Europe/Amsterdam,desktop,97.6,2026-01-23T13:33:50.419Z,FR
C00210,U1171,DE,Germany,Berlin,Europe/Berlin,desktop,106.4,2026-04-22T15:32:08.143Z,PL
C00211,U1508,DE,Germany,Berlin,Europe/Berlin,desktop,125.7,2026-03-15T23:17:43.677Z,CA
C00212,U1349,CA,Canada,Toronto,America/Toronto,desktop,99.3,2026-04-16T07:23:14.938Z,SE
C00213,U1398,MX,Mexico,Mexico City,America/Mexico_City,mobile,41.3,2026-01-24T02:32:00.773Z,US
C00214,U1686,AU,Australia,Sydney,Australia/Sydney,mobile,52.8,2026-02-19T12:29:27.717Z,IN
C00215,U1134,GB,United Kingdom,London,Europe/London,mobile,26.5,2026-02-24T09:01:49.816Z,ES
C00216,U1457,US,United States,New York,America/New_York,tablet,65.1,2026-03-02T22:23:42.298Z,GB
C00217,U1393,US,United States,New York,America/New_York,desktop,84.3,2026-01-18T01:48:29.000Z,MX
C00218,U1684,US,United States,New York,America/New_York,desktop,71.3,2026-04-19T03:16:27.100Z,CA
C00219,U1700,IT,Italy,Rome,Europe/Rome,tablet,55,2026-02-26T16:11:20.205Z,ES
C00220,U1718,FR,France,Paris,Europe/Paris,mobile,58.1,2026-03-29T14:33:55.766Z,IT
C00221,U1708,SG,Singapore,Singapore,Asia/Singapore,desktop,111.5,2026-03-23T17:42:21.960Z,IN
C00222,U1047,DE,Germany,Berlin,Europe/Berlin,desktop,116,2026-03-28T21:45:43.865Z,ES
C00223,U1724,KR,South Korea,Seoul,Asia/Seoul,desktop,129.9,2026-03-30T16:19:49.588Z,JP
C00224,U1569,FR,France,Paris,Europe/Paris,mobile,27,2026-02-24T13:08:55.095Z,NL
C00225,U1429,MX,Mexico,Mexico City,America/Mexico_City,mobile,61.8,2026-04-17T13:52:37.380Z,US
C00226,U1241,IN,India,Mumbai,Asia/Kolkata,desktop,73.7,2026-01-26T09:09:31.842Z,US
C00227,U1799,AU,Australia,Sydney,Australia/Sydney,desktop,66.9,2026-02-13T21:05:57.952Z,IN
C00228,U1011,ZA,South Africa,Cape Town,Africa/Johannesburg,desktop,72.4,2026-03-28T12:25:55.469Z,ZA
C00229,U1279,CA,Canada,Toronto,America/Toronto,tablet,72.6,2026-04-18T22:50:16.730Z,BR
C00230,U1227,IN,India,Mumbai,Asia/Kolkata,tablet,70.4,2026-04-12T06:07:45.487Z,SG
C00231,U1516,PL,Poland,Warsaw,Europe/Warsaw,desktop,101.4,2026-02-04T22:32:10.943Z,NL
C00232,U1413,ES,Spain,Madrid,Europe/Madrid,mobile,41,2026-03-14T10:46:18.465Z,FR
C00233,U1457,AU,Australia,Sydney,Australia/Sydney,desktop,72.5,2026-02-23T06:41:33.626Z,KR
C00234,U1100,US,United States,New York,America/New_York,mobile,36.9,2026-02-09T04:55:49.743Z,MX
C00235,U1500,GB,United Kingdom,London,Europe/London,desktop,70.7,2026-04-17T00:48:09.771Z,SE
C00236,U1236,IN,India,Mumbai,Asia/Kolkata,desktop,67.1,2026-02-28T03:59:43.386Z,KR
C00237,U1489,US,United States,New York,America/New_York,mobile,57.2,2026-04-08T12:41:06.861Z,MX
C00238,U1077,DE,Germany,Berlin,Europe/Berlin,mobile,62.4,2026-03-26T22:01:29.800Z,PL
C00239,U1413,MX,Mexico,Mexico City,America/Mexico_City,desktop,70.6,2026-03-09T19:29:03.695Z,CA
C00240,U1404,US,United States,New York,America/New_York,mobile,30.6,2026-02-23T17:00:07.181Z,CA
C00241,U1436,PL,Poland,Warsaw,Europe/Warsaw,desktop,67.6,2026-04-01T23:50:02.970Z,IT
C00242,U1308,GB,United Kingdom,London,Europe/London,mobile,45.2,2026-04-29T21:27:53.601Z,ES
C00243,U1184,US,United States,New York,America/New_York,desktop,104.8,2026-03-17T19:31:42.724Z,CA
C00244,U1644,IN,India,Mumbai,Asia/Kolkata,desktop,70.6,2026-02-28T01:00:00.453Z,SG
C00245,U1197,ES,Spain,Madrid,Europe/Madrid,mobile,41.8,2026-04-12T14:38:23.652Z,FR
C00246,U1700,IT,Italy,Rome,Europe/Rome,desktop,102,2026-02-06T09:10:26.928Z,SE
C00247,U1482,BR,Brazil,São Paulo,America/Sao_Paulo,mobile,50.4,2026-01-21T16:07:51.373Z,US
C00248,U1125,CA,Canada,Toronto,America/Toronto,mobile,65,2026-03-09T09:19:06.375Z,MX
